id,rations,oil,coal,uranium,bauxite,iron,lead,copper,lumber,components,steel,consumer_goods,aluminium,gasoline,ammunition
256,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
545,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
544,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
554,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
257,1000,0,0,0,0,0,0,0,400,0,250,0,200,0,0
325,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
261,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
260,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
705,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
610,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
609,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
693,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
525,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
415,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
414,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
524,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
625,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
455,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
454,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
485,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
484,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
29,3150,0,0,0,0,0,0,0,154,0,128,0,102,0,0
30,0,0,43260,0,0,32558,0,0,15588,0,36084,98781,15020,0,0
606,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
605,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
515,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
514,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
656,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
655,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
619,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
565,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
564,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
33,296321,1000000,959575,1007680,1000000,1020641,1000000,1000000,999940,1000000,1018952,1018841,999940,1000000,1000000
34,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
35,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
66,0,0,0,0,0,0,0,0,400,0,55,17521,60,0,0
23,3262,1219492,1000000,1040688,1000000,1126662,1000000,1000000,999730,1000000,994500,4761774,997555,1000000,1000000
167,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
208,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
214,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
24,0,0,0,0,0,0,0,0,256,0,160,0,128,0,0
220,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
329,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
25,231,0,0,0,0,0,0,0,140,0,25,0,75,0,0
26,1470,0,0,0,0,0,29336,29450,0,0,0,0,200,0,0
555,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
13,33702000,1317320,959610,1000000,1128320,1057445,1000000,1154750,998945,1001000,1017680,3250884,998585,1000000,1000000
14,0,0,0,0,0,0,0,0,566,0,75,0,275,0,0
16,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
17,0,0,0,0,0,0,0,0,320,0,200,0,160,0,0
18,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
19,13160,0,8255,0,0,27478,22677,0,675090,0,2,17063,0,0,0
659,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
658,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
20,0,687744,0,0,0,2,3,0,0,0,0,1562831,100000,0,0
285,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
284,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
343,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
342,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
324,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
715,10,0,0,0,0,0,0,0,400,0,250,0,200,0,0
473,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
472,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
503,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
502,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
9998,1050000,0,0,0,0,0,0,0,1040000,0,520000,0,515000,0,0
175,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
608,105,0,0,0,0,0,0,0,390,0,175,2283,120,0,0
228,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
236,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
245,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
253,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
613,0,0,0,0,0,17917,0,0,380,0,60,18217,50,0,0
269,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
281,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
293,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
309,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
319,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
604,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
603,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
379,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
389,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
399,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
409,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
591,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
677,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
676,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
505,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
504,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
641,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
640,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
717,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
716,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
594,147,0,0,0,0,0,0,0,390,0,0,0,0,0,0
698,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
607,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
5,1000311386432,1438264,1200815,1000000,1649050,1000000,1000000,1000000,1217328,997875,842255,4167673,984487,1000000,1000000
11,0,45520,0,0,0,0,0,0,400,0,145,59725,70,0,0
620,280,10676,0,0,0,0,0,0,390,0,115,5372,75,0,0
6,0,2000000,2000000,1969216,2000000,2000000,2000000,2000000,1999920,2000000,1996320,2872133,1999355,2000000,2000000
7,0,1000000,1000000,1000000,1000000,1000000,1000000,1014100,1000375,1000000,1000250,1639230,1000200,1000000,1000000
665,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
8,0,1000000,1000000,923040,1000000,2319404,1000000,1000000,998600,1000000,988275,1748895,996320,1000000,1000000
339,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
349,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
359,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
419,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
36,8346138,10145008,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10048303,10000000,10000000,10000000
582,0,0,0,0,0,0,0,0,400,0,115,0,5,0,0
583,336,0,11766,0,0,0,0,0,19425,0,10,20445,0,0,0
144,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
146,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
151,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
159,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
185,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
193,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
429,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
459,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
469,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
479,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
489,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
499,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
509,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
519,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
529,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
